,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
9648,1859000000.0,Mercedes Benz,C Class,2019,14,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
9650,245000000.0,Toyota,Vios,2012,80000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
9651,227000000.0,Toyota,Vios,2009,80000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Đắk Lắk
9652,570000000.0,Mitsubishi,Xpander,2019,43000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),7,hừa Thiên Huế
9653,305000000.0,Kia,Morning,2016,29000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Đồng Nai
9654,400000000.0,Ford,Everest,2009,88000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Lâm Đồng
9655,400000000.0,Toyota,Innova,2012,50000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hồ Chí Minh
9656,696000000.0,Kia,Sedona,2016,56000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),7,Hồ Chí Minh
9657,328000000.0,Hyundai,Grand i10,2018,36682,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
9658,420000000.0,Kia,Rio,2017,5000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Đà Nẵng
9660,286000000.0,Hyundai,Grand i10,2016,130000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bà Rịa - Vũng Tàu
9661,1999000000.0,Mercedes Benz,E Class,2019,1000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
9662,2629000000.0,Mercedes Benz,E Class,2019,6500,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
9663,195000000.0,Chevrolet,Spark,2013,100000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Khánh Hòa
9664,300000000.0,Hyundai,Grand i10,2017,30000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
9665,500000000.0,Toyota,Camry,2010,230000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hải Dương
9668,315000000.0,Kia,Rio,2015,5000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Đà Nẵng
9670,2199000000.0,BMW,3 Series,2020,2700,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
9671,296000000.0,Hyundai,Grand i10,2014,68000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,hừa Thiên Huế
9672,518000000.0,Mitsubishi,Xpander,2019,23000,Cũ,Số sàn,Xăng,Nhập khẩu,Minivan (MPV),5,Hồ Chí Minh
9673,52000000.0,Daewoo,Lanos,2001,123549,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
