,count,mean,std,min,25%,50%,75%,max
DongXe_concord,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_continental,37486.0,5.335325188070213e-05,0.00730423360510804,0.0,0.0,0.0,0.0,1.0
DongXe_contour,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_cooper,37486.0,0.0005335325188070213,0.023092468198346254,0.0,0.0,0.0,0.0,1.0
DongXe_corolla,37486.0,0.002187483327108787,0.046719979370504226,0.0,0.0,0.0,0.0,1.0
DongXe_corolla altis,37486.0,0.014005228618684308,0.11751361869830342,0.0,0.0,0.0,0.0,1.0
DongXe_corolla cross,37486.0,0.0035213146241263407,0.05923688526546156,0.0,0.0,0.0,0.0,1.0
DongXe_corolla_altis,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_corolla_cross,37486.0,0.0001600597556421064,0.012650628672181388,0.0,0.0,0.0,0.0,1.0
DongXe_corona,37486.0,0.0010403884116736916,0.03223869925328374,0.0,0.0,0.0,0.0,1.0
DongXe_county,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
DongXe_coupe,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_cr v,37486.0,0.012991516832950968,0.11323903655463811,0.0,0.0,0.0,0.0,1.0
DongXe_cr_v,37486.0,0.001627274182361415,0.040307189207353704,0.0,0.0,0.0,0.0,1.0
DongXe_cressida,37486.0,0.0003734727631649149,0.019322092039892342,0.0,0.0,0.0,0.0,1.0
DongXe_cresta,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_creta,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
DongXe_crown,37486.0,0.0003467961372245638,0.018619482217639226,0.0,0.0,0.0,0.0,1.0
DongXe_crown victoria,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_cruze,37486.0,0.008829963186256203,0.09355334529726432,0.0,0.0,0.0,0.0,1.0
DongXe_cs35,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_cts,37486.0,5.335325188070213e-05,0.00730423360510804,0.0,0.0,0.0,0.0,1.0
DongXe_culiman,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_cx 5,37486.0,0.014218641626207118,0.11839276066831246,0.0,0.0,0.0,0.0,1.0
DongXe_cx 8,37486.0,0.0032011951128421276,0.05648922542108693,0.0,0.0,0.0,0.0,1.0
DongXe_cx 9,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_cx_5,37486.0,0.0008002987782105319,0.02827860733541459,0.0,0.0,0.0,0.0,1.0
DongXe_cx_8,37486.0,0.0005602091447473724,0.023662422677691575,0.0,0.0,0.0,0.0,1.0
DongXe_damas,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_db,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_defender,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_defender_110,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_dfl3251,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_discovery,37486.0,0.00024008963346315958,0.015493172491310717,0.0,0.0,0.0,0.0,1.0
DongXe_dmax,37486.0,0.0022675132049298405,0.04756502856980077,0.0,0.0,0.0,0.0,1.0
DongXe_doblo,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
